match_date,day,match_hour,week,country,season,league,venue,team,gf,ga,opponent,result,goal_diff
2025-03-08,Saturday,20,28,England,2024/2025,Premier League,Away,Everton,1,1,Wolverhampton,D,0
2025-03-15,Saturday,15,29,England,2024/2025,Premier League,Home,Everton,1,1,West Ham,D,0
2025-04-02,Wednesday,19,30,England,2024/2025,Premier League,Away,Everton,0,1,Liverpool,L,-1
2025-04-05,Saturday,11,31,England,2024/2025,Premier League,Home,Everton,1,1,Arsenal,D,0
2025-04-12,Saturday,14,32,England,2024/2025,Premier League,Away,Everton,1,0,Nottingham,W,1
2025-04-19,Saturday,14,33,England,2024/2025,Premier League,Home,Everton,0,2,Man City,L,-2
2025-04-26,Saturday,11,34,England,2024/2025,Premier League,Away,Everton,0,1,Chelsea,L,-1
2025-05-03,Saturday,14,35,England,2024/2025,Premier League,Home,Everton,2,2,Ipswich Town,D,0
2025-05-10,Saturday,14,36,England,2024/2025,Premier League,Away,Everton,3,1,Fulham,W,2
2025-05-18,Sunday,11,37,England,2024/2025,Premier League,Home,Everton,2,0,Southampton,W,2
2025-05-25,Sunday,15,38,England,2024/2025,Premier League,Away,Everton,1,0,Newcastle,W,1
2024-08-16,Friday,19,1,England,2024/2025,Premier League,Away,Fulham,0,1,Man United,L,-1
2024-08-24,Saturday,14,2,England,2024/2025,Premier League,Home,Fulham,2,1,Leicester City,W,1
2024-08-31,Saturday,14,3,England,2024/2025,Premier League,Away,Fulham,1,1,Ipswich Town,D,0
2024-09-14,Saturday,14,4,England,2024/2025,Premier League,Home,Fulham,1,1,West Ham,D,0
2024-09-21,Saturday,14,5,England,2024/2025,Premier League,Home,Fulham,3,1,Newcastle,W,2
2024-09-28,Saturday,14,6,England,2024/2025,Premier League,Away,Fulham,1,0,Nottingham,W,1
2024-10-05,Saturday,14,7,England,2024/2025,Premier League,Away,Fulham,2,3,Man City,L,-1
2024-10-19,Saturday,14,8,England,2024/2025,Premier League,Home,Fulham,1,3,Aston Villa,L,-2
2024-10-26,Saturday,16,9,England,2024/2025,Premier League,Away,Fulham,1,1,Everton,D,0
2024-11-04,Monday,20,10,England,2024/2025,Premier League,Home,Fulham,2,1,Brentford,W,1
2024-11-09,Saturday,15,11,England,2024/2025,Premier League,Away,Fulham,2,0,Crystal Palace,W,2
2024-11-23,Saturday,15,12,England,2024/2025,Premier League,Home,Fulham,1,4,Wolverhampton,L,-3
2024-12-01,Sunday,13,13,England,2024/2025,Premier League,Away,Fulham,1,1,Tottenham,D,0
2024-12-05,Thursday,19,14,England,2024/2025,Premier League,Home,Fulham,3,1,Brighton Hove,W,2
2024-12-08,Sunday,14,15,England,2024/2025,Premier League,Home,Fulham,1,1,Arsenal,D,0
2024-12-14,Saturday,15,16,England,2024/2025,Premier League,Away,Fulham,2,2,Liverpool,D,0
2024-12-22,Sunday,14,17,England,2024/2025,Premier League,Home,Fulham,0,0,Southampton,D,0
2024-12-26,Thursday,15,18,England,2024/2025,Premier League,Away,Fulham,2,1,Chelsea,W,1
2024-12-29,Sunday,15,19,England,2024/2025,Premier League,Home,Fulham,2,2,Bournemouth,D,0
2025-01-05,Sunday,14,20,England,2024/2025,Premier League,Home,Fulham,2,2,Ipswich Town,D,0
2025-01-14,Tuesday,19,21,England,2024/2025,Premier League,Away,Fulham,2,3,West Ham,L,-1
2025-01-18,Saturday,15,22,England,2024/2025,Premier League,Away,Fulham,2,0,Leicester City,W,2
2025-01-26,Sunday,19,23,England,2024/2025,Premier League,Home,Fulham,0,1,Man United,L,-1
2025-02-01,Saturday,15,24,England,2024/2025,Premier League,Away,Fulham,2,1,Newcastle,W,1
2025-02-15,Saturday,15,25,England,2024/2025,Premier League,Home,Fulham,2,1,Nottingham,W,1
2025-02-22,Saturday,15,26,England,2024/2025,Premier League,Home,Fulham,0,2,Crystal Palace,L,-2
