,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
185,2025-04-26,14,34,England,Premier League,Away,Fulham,2,1,Southampton,1,1
186,2025-05-03,11,35,England,Premier League,Away,Fulham,0,1,Aston Villa,0,-1
187,2025-05-10,14,36,England,Premier League,Home,Fulham,1,3,Everton,0,-2
188,2025-05-18,14,37,England,Premier League,Away,Fulham,3,2,Brentford,1,1
189,2025-05-25,15,38,England,Premier League,Home,Fulham,0,2,Man City,0,-2
190,2024-08-17,11,1,England,Premier League,Away,Liverpool,2,0,Ipswich Town,1,2
191,2024-08-25,15,2,England,Premier League,Home,Liverpool,2,0,Brentford,1,2
192,2024-09-01,15,3,England,Premier League,Away,Liverpool,3,0,Man United,1,3
193,2024-09-14,14,4,England,Premier League,Home,Liverpool,0,1,Nottingham,0,-1
194,2024-09-21,14,5,England,Premier League,Home,Liverpool,3,0,Bournemouth,1,3
195,2024-09-28,16,6,England,Premier League,Away,Liverpool,2,1,Wolverhampton,1,1
196,2024-10-05,11,7,England,Premier League,Away,Liverpool,1,0,Crystal Palace,1,1
197,2024-10-20,15,8,England,Premier League,Home,Liverpool,2,1,Chelsea,1,1
198,2024-10-27,16,9,England,Premier League,Away,Liverpool,2,2,Arsenal,2,0
199,2024-11-02,15,10,England,Premier League,Home,Liverpool,2,1,Brighton Hove,1,1
200,2024-11-09,20,11,England,Premier League,Home,Liverpool,2,0,Aston Villa,1,2
201,2024-11-24,14,12,England,Premier League,Away,Liverpool,3,2,Southampton,1,1
202,2024-12-01,16,13,England,Premier League,Home,Liverpool,2,0,Man City,1,2
203,2024-12-04,19,14,England,Premier League,Away,Liverpool,3,3,Newcastle,2,0
204,2024-12-14,15,16,England,Premier League,Home,Liverpool,2,2,Fulham,2,0
205,2024-12-22,16,17,England,Premier League,Away,Liverpool,6,3,Tottenham,1,3
206,2024-12-26,20,18,England,Premier League,Home,Liverpool,3,1,Leicester City,1,2
207,2024-12-29,17,19,England,Premier League,Away,Liverpool,5,0,West Ham,1,5
208,2025-01-05,16,20,England,Premier League,Home,Liverpool,2,2,Man United,2,0
209,2025-01-14,20,21,England,Premier League,Away,Liverpool,1,1,Nottingham,2,0
210,2025-01-18,15,22,England,Premier League,Away,Liverpool,2,0,Brentford,1,2
211,2025-01-25,15,23,England,Premier League,Home,Liverpool,4,1,Ipswich Town,1,3
212,2025-02-01,15,24,England,Premier League,Away,Liverpool,2,0,Bournemouth,1,2
213,2025-02-12,19,15,England,Premier League,Away,Liverpool,2,2,Everton,2,0
214,2025-02-16,14,25,England,Premier League,Home,Liverpool,2,1,Wolverhampton,1,1
215,2025-02-19,19,29,England,Premier League,Away,Liverpool,2,2,Aston Villa,2,0
216,2025-02-23,16,26,England,Premier League,Away,Liverpool,2,0,Man City,1,2
217,2025-02-26,20,27,England,Premier League,Home,Liverpool,2,0,Newcastle,1,2
218,2025-03-08,15,28,England,Premier League,Home,Liverpool,3,1,Southampton,1,2
219,2025-04-02,19,30,England,Premier League,Home,Liverpool,1,0,Everton,1,1
220,2025-04-06,13,31,England,Premier League,Away,Liverpool,2,3,Fulham,0,-1
221,2025-04-13,13,32,England,Premier League,Home,Liverpool,2,1,West Ham,1,1
222,2025-04-20,15,33,England,Premier League,Away,Liverpool,1,0,Leicester City,1,1
223,2025-04-27,15,34,England,Premier League,Home,Liverpool,5,1,Tottenham,1,4
224,2025-05-04,15,35,England,Premier League,Away,Liverpool,1,3,Chelsea,0,-2
225,2025-05-11,15,36,England,Premier League,Home,Liverpool,2,2,Arsenal,2,0
226,2025-05-19,19,37,England,Premier League,Away,Liverpool,2,3,Brighton Hove,0,-1
227,2025-05-25,15,38,England,Premier League,Home,Liverpool,1,1,Crystal Palace,2,0
228,2024-08-18,15,1,England,Premier League,Away,Man City,2,0,Chelsea,1,2
229,2024-08-24,14,2,England,Premier League,Home,Man City,4,1,Ipswich Town,1,3
230,2024-08-31,16,3,England,Premier League,Away,Man City,3,1,West Ham,1,2
231,2024-09-14,14,4,England,Premier League,Home,Man City,2,1,Brentford,1,1
232,2024-09-22,15,5,England,Premier League,Home,Man City,2,2,Arsenal,2,0
233,2024-09-28,11,6,England,Premier League,Away,Man City,1,1,Newcastle,2,0
234,2024-10-05,14,7,England,Premier League,Home,Man City,3,2,Fulham,1,1
235,2024-10-20,13,8,England,Premier League,Away,Man City,2,1,Wolverhampton,1,1
236,2024-10-26,14,9,England,Premier League,Home,Man City,1,0,Southampton,1,1
237,2024-11-02,15,10,England,Premier League,Away,Man City,1,2,Bournemouth,0,-1
238,2024-11-09,17,11,England,Premier League,Away,Man City,1,2,Brighton Hove,0,-1
239,2024-11-23,17,12,England,Premier League,Home,Man City,0,4,Tottenham,0,-4
240,2024-12-01,16,13,England,Premier League,Away,Man City,0,2,Liverpool,0,-2
