,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
2760,25,2025-03-09,16,Bundesliga,2,Hoffenheim,44,Heidenheim,DRAW,1,1
2761,26,2025-03-14,19,Bundesliga,20,St. Pauli,2,Hoffenheim,HOME_TEAM,1,0
2762,27,2025-03-29,14,Bundesliga,2,Hoffenheim,16,Augsburg,DRAW,1,1
2763,28,2025-04-05,13,Bundesliga,721,RB Leipzig,2,Hoffenheim,HOME_TEAM,3,1
2764,29,2025-04-12,13,Bundesliga,2,Hoffenheim,15,Mainz,HOME_TEAM,2,0
2765,30,2025-04-19,13,Bundesliga,17,Freiburg,2,Hoffenheim,HOME_TEAM,3,2
2766,31,2025-04-26,13,Bundesliga,2,Hoffenheim,4,Dortmund,AWAY_TEAM,2,3
2767,32,2025-05-03,13,Bundesliga,18,M'gladbach,2,Hoffenheim,DRAW,4,4
2768,33,2025-05-09,18,Bundesliga,11,Wolfsburg,2,Hoffenheim,DRAW,2,2
2769,34,2025-05-17,13,Bundesliga,2,Hoffenheim,5,Bayern,AWAY_TEAM,0,4
2770,1,2024-08-23,18,Bundesliga,18,M'gladbach,3,Leverkusen,AWAY_TEAM,2,3
2771,2,2024-08-31,16,Bundesliga,3,Leverkusen,721,RB Leipzig,AWAY_TEAM,2,3
2772,3,2024-09-14,13,Bundesliga,2,Hoffenheim,3,Leverkusen,AWAY_TEAM,1,4
2773,4,2024-09-22,13,Bundesliga,3,Leverkusen,11,Wolfsburg,HOME_TEAM,4,3
2774,5,2024-09-28,16,Bundesliga,5,Bayern,3,Leverkusen,DRAW,1,1
2775,6,2024-10-05,13,Bundesliga,3,Leverkusen,720,Holstein Kiel,DRAW,2,2
2776,7,2024-10-19,13,Bundesliga,3,Leverkusen,19,Frankfurt,HOME_TEAM,2,1
2777,8,2024-10-26,16,Bundesliga,12,Bremen,3,Leverkusen,DRAW,2,2
2778,9,2024-11-01,19,Bundesliga,3,Leverkusen,10,Stuttgart,DRAW,0,0
2779,10,2024-11-09,14,Bundesliga,36,Bochum,3,Leverkusen,DRAW,1,1
2780,11,2024-11-23,14,Bundesliga,3,Leverkusen,44,Heidenheim,HOME_TEAM,5,2
2781,12,2024-11-30,14,Bundesliga,28,Union Berlin,3,Leverkusen,AWAY_TEAM,1,2
2782,13,2024-12-07,14,Bundesliga,3,Leverkusen,20,St. Pauli,HOME_TEAM,2,1
2783,14,2024-12-14,14,Bundesliga,16,Augsburg,3,Leverkusen,AWAY_TEAM,0,2
2784,15,2024-12-21,17,Bundesliga,3,Leverkusen,17,Freiburg,HOME_TEAM,5,1
2785,16,2025-01-10,19,Bundesliga,4,Dortmund,3,Leverkusen,AWAY_TEAM,2,3
2786,17,2025-01-14,19,Bundesliga,3,Leverkusen,15,Mainz,HOME_TEAM,1,0
2787,18,2025-01-18,17,Bundesliga,3,Leverkusen,18,M'gladbach,HOME_TEAM,3,1
2788,19,2025-01-25,14,Bundesliga,721,RB Leipzig,3,Leverkusen,DRAW,2,2
2789,20,2025-02-02,16,Bundesliga,3,Leverkusen,2,Hoffenheim,HOME_TEAM,3,1
2790,21,2025-02-08,14,Bundesliga,11,Wolfsburg,3,Leverkusen,DRAW,0,0
2791,22,2025-02-15,17,Bundesliga,3,Leverkusen,5,Bayern,DRAW,0,0
2792,23,2025-02-22,14,Bundesliga,720,Holstein Kiel,3,Leverkusen,AWAY_TEAM,0,2
2793,24,2025-03-01,17,Bundesliga,19,Frankfurt,3,Leverkusen,AWAY_TEAM,1,4
2794,25,2025-03-08,14,Bundesliga,3,Leverkusen,12,Bremen,AWAY_TEAM,0,2
2795,26,2025-03-16,18,Bundesliga,10,Stuttgart,3,Leverkusen,AWAY_TEAM,3,4
2796,27,2025-03-28,19,Bundesliga,3,Leverkusen,36,Bochum,HOME_TEAM,3,1
2797,28,2025-04-05,13,Bundesliga,44,Heidenheim,3,Leverkusen,AWAY_TEAM,0,1
2798,29,2025-04-12,13,Bundesliga,3,Leverkusen,28,Union Berlin,DRAW,0,0
2799,30,2025-04-20,17,Bundesliga,20,St. Pauli,3,Leverkusen,DRAW,1,1
2800,31,2025-04-26,13,Bundesliga,3,Leverkusen,16,Augsburg,HOME_TEAM,2,0
2801,32,2025-05-04,15,Bundesliga,17,Freiburg,3,Leverkusen,DRAW,2,2
2802,33,2025-05-11,13,Bundesliga,3,Leverkusen,4,Dortmund,AWAY_TEAM,2,4
2803,34,2025-05-17,13,Bundesliga,15,Mainz,3,Leverkusen,DRAW,2,2
2804,1,2024-08-24,16,Bundesliga,4,Dortmund,19,Frankfurt,HOME_TEAM,2,0
2805,2,2024-08-31,13,Bundesliga,12,Bremen,4,Dortmund,DRAW,0,0
2806,3,2024-09-13,18,Bundesliga,4,Dortmund,44,Heidenheim,HOME_TEAM,4,2
2807,4,2024-09-22,15,Bundesliga,10,Stuttgart,4,Dortmund,HOME_TEAM,5,1
2808,5,2024-09-27,18,Bundesliga,4,Dortmund,36,Bochum,HOME_TEAM,4,2
